GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
finance-tracker,com.financetracker.utils,ScannerInputProvider,0,18,0,0,0,6,0,4,0,4
finance-tracker,com.financetracker.utils,InputValidator,22,81,2,6,12,25,2,8,0,6
finance-tracker,com.financetracker.app,FinanceTrackerApp,201,617,43,46,71,214,39,44,3,18
finance-tracker,com.financetracker.repository,GoalRepository,6,21,0,0,2,5,1,3,1,3
finance-tracker,com.financetracker.repository,BudgetRepository,6,21,0,0,2,5,1,3,1,3
finance-tracker,com.financetracker.repository,UserRepository,23,76,4,2,5,17,5,9,2,9
finance-tracker,com.financetracker.service,GoalService,45,118,9,11,9,21,9,9,1,7
finance-tracker,com.financetracker.service,FinanceTracker,77,444,16,18,16,92,15,49,1,46
finance-tracker,com.financetracker.service,FinanceTracker.LoginResult,0,21,0,0,0,4,0,1,0,1
finance-tracker,com.financetracker.service,UserService,66,252,23,23,15,50,24,14,2,13
finance-tracker,com.financetracker.service,BudgetService,57,130,10,12,9,23,10,10,1,8
finance-tracker,com.financetracker.service,ConsoleNotificationService,0,9,0,0,0,3,0,2,0,2
finance-tracker,com.financetracker.service,TransactionService,1,482,7,31,0,83,7,43,0,31
finance-tracker,com.financetracker.model,User,0,138,0,18,0,39,0,24,0,15
finance-tracker,com.financetracker.model,Goal,0,37,0,0,0,11,0,6,0,6
finance-tracker,com.financetracker.model,BudgetRecord,0,28,0,0,0,10,0,5,0,5
finance-tracker,com.financetracker.model,Transaction,10,65,3,3,2,22,3,10,0,10
